breed,size,typical_weight_kg,energy_level,common_issues,feeding_notes
Labrador Retriever,Large,25-36,High,"Obesity, hip dysplasia, bloat",Prone to obesity. Measure portions carefully. May need joint supplements.
German Shepherd,Large,22-40,High,"Hip dysplasia, bloat, digestive sensitivity",May benefit from joint support. Avoid exercise after meals to prevent bloat.
Golden Retriever,Large,25-34,High,"Obesity, cancer, hip dysplasia",Monitor weight closely. Omega-3 fatty acids beneficial.
French Bulldog,Small,9-12,Low-Medium,"Breathing issues, obesity, allergies",Avoid overfeeding. Common food allergies to chicken and grains.
Bulldog,Medium,18-25,Low,"Obesity, hip dysplasia, breathing",Very prone to obesity. Low calorie requirements due to low activity.
Beagle,Small-Medium,9-11,High,"Obesity, epilepsy, hypothyroidism",Will eat anything! Strict portion control essential.
Poodle,Varies,3-32,High,"Addison's disease, bloat",Standard poodles risk for bloat. Feed smaller meals.
Rottweiler,Large,35-60,Medium-High,"Obesity, hip dysplasia, cancer",Large breed puppy food essential. Monitor growth rate.
Chihuahua,Toy,1.5-3,Medium,"Hypoglycemia, dental issues, obesity",Small frequent meals. High quality protein important.
Pug,Small,6-8,Low-Medium,"Obesity, breathing, eye problems",Very prone to obesity. Monitor weight carefully.
Shih Tzu,Small,4-7,Low-Medium,"Obesity, kidney issues, allergies",Prone to weight gain. May need special diet for kidney support.
Mixed Breed,Varies,Varies,Varies,Varies,Base nutrition on size and activity level. Generally healthier than purebreds.
